"You will be redirected to PayFast Sandbox in a few seconds.","You will be redirected to PayFast Sandbox in a few seconds."
"Your payment has been successfully processed by our shop system.","Your payment has been successfully processed by our shop system."
"Please click <a href=""%s"">here</a> if you are not redirected automatically.","Please click <a href=""%s"">here</a> if you are not redirected automatically."
"Customer was redirected to PayFast.","Customer was redirected to PayFast."
"Customer was rejected by PayFast","Customer was rejected by PayFast"
"Error occurred","Error occurred"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"PayFast Transaction ID: %s","PayFast Transaction ID: %s"
"payfast_webcheckout: Hello, You will be redirected to PayFast website when you place an order.","You will be redirected to PayFast Webcheckout."
"Payment has not been processed yet.","Payment has not been processed yet."
"Your purchase at","Your purchase at"
"The order has been canceled.","The order has been canceled."
